,gpu_time,gpu_time_ci,nb_nodes,nb_nodes_ci,lp_iters,lp_iters_ci
expert0.0_alpha10.0,24.45487054029,4.064577830687811,1531.4233333333334,262.67256527669565,117177.08,25770.029502667745
expertmixed_alpha10.0,19.012434450629996,3.0167457338781487,1091.8500000000001,303.1298397725964,88572.24666666666,17973.01466201659
expert1.0_alpha10.0,18.893410437489997,1.3793511874797253,1083.2833333333335,127.22984767828652,87484.98666666668,6122.053321433439
expert0.25_alpha10.0,18.178694850966668,0.2597976075672687,964.1966666666667,152.83450602766374,82398.01666666666,8973.242780923692
FSB,522.50291225832,1450.0150577420634,457.61,1062.3176220844496,51514.17,118937.47341357725
SCIP,16.805865624870002,23.83080185953437,650.73,1885.908182663949,55486.18,156820.49478292846
