,accuracy,accuracy_ci
expert0.0_alpha10.0,0.1767682881530801,0.005309309573025496
expertmixed_alpha10.0,0.21895138790640212,0.009694768420763859
expert1.0_alpha10.0,0.22888273411803198,0.022564708185945987
expert0.25_alpha10.0,0.21043973486720655,0.02331545662247803
