,gpu_time,gpu_time_ci,cpu_time,cpu_time_ci
expert0.0_alpha10.0,2.3196,0.0766,6.7093,0.4682
expertmixed_alpha10.0,2.2723,0.0714,5.494,0.5939
expert1.0_alpha10.0,2.3111,0.0713,6.019,0.2421
expert0.25_alpha10.0,2.2916,0.0578,5.8874,0.4404
FSB,,,8.1191,12.9578
SCIP,,,2.777,1.8697
